,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN
0,70200,GUADALAJARA,40.534668,-3.2985719,"CALLE FRANCISCO ARITIO, S/N"
1,70105,AZUQUECA,40.56104,-3.265446,"PASEO ESTACION FERROCARRIL, S/N"
2,70108,COSLADA,40.4241947,-3.5602359,"CALLE DOCTOR FLEMING, S/N"
3,18001,MADRID-RECOLETOS,40.423371,-3.690995,"PASEO DE RECOLETOS, S/N"
4,18005,PIRAMIDES,40.402516,-3.711374,"PASEO DE LAS ACACIAS - DOCTOR VALLEJO NAJERA, S/N"
5,10000,MADRID-PRINCIPE PIO,40.421389,-3.718968,"PASEO DE LA FLORIDA, 2"
6,35609,EMBAJADORES,40.404609,-3.702592,"GLORIETA EMBAJADORES, 6"
7,18101,SOL,40.416856,-3.702904,"PUERTA DEL SOL, S/N"
8,70002,ASAMBLEA DE MADRID-ENTREVIAS,40.3814976,-3.667215,"AVENIDA DE ENTREVIAS, S/N"
9,37001,VILLAVERDE ALTO,40.341622,-3.712565,"CALLE DOMINGO PARRAGA, 42"
10,60100,VILLAVERDE BAJO,40.3555397,-3.6832514,"CALLE ESTACION FERROCARRIL, S/N"
11,60101,SAN CRISTOBAL INDUSTRIAL,40.3320318,-3.6963666,"CALLE TRANSVERSAL SEXTA, S/N (POLIGONO INDUSTRIAL DE VILLAVERDE)"
12,60107,SAN CRISTOBAL DE LOS ANGELES,40.3419854,-3.683232,"CARRETERA DE ANDALUCIA, KM 10.700"
13,10001,ARAVACA,40.448345,-3.786191,"AVENIDA DEL TALGO - CALLE DE LAS ROSAS, S/N"
14,35603,CUATRO VIENTOS,40.377714,-3.791574,"CALLE ROBERT DE CAPA, 26"
15,35702,DOCE DE OCTUBRE,40.379224,-3.698976,"CALLE TOMELLOSO, 59"
16,70001,VALLECAS,40.382264,-3.624931,"Avenida de la Democracia, 1 "
17,70003,EL POZO,40.3765168,-3.6564132,"CAMINO DE HORMIGUERAS, S/N"
18,70109,SANTA EUGENIA,40.3877971,-3.6087501,"AVENIDA SANTA EUGENIA, 9"
19,17001,FUENCARRAL,40.5024656,-3.6817503,"CALLE ANTONIO CABEZON, S/N"
20,97200,Mirasierra,40.499759,-3.709755,"CALLE DEL MONASTERIO DE LA HUELGAS, S/N"
21,97201,RAMON Y CAJAL,40.4880223,-3.6935145,"CARRETERA M-607 A COLMENAR, KM. 6.100"
22,97100,PITIS,40.4956316,-3.7256015,"CALLE GLORIA FUERTES, S/N"
23,17000,MADRID-CHAMARTIN,40.4732797,-3.6818974,"CALLE AGUSTIN DE FOXA, S/N"
24,35703,ORCASITAS,40.367081,-3.704244,"CALLE CAMPOTEJAR, 25"
25,35704,PUENTE ALCOCER,40.350418,-3.705122,"CALLE ALCOCER, 54"
26,98305,AEROPUERTO T-4,40.491691,-3.593988,CARRETERA M-12 - TERMINAL AEROPUERTO T4 - BARAJAS
27,35601,FANJUL,40.38367,-3.768496,"AVENIDA DE LAS AGUILAS, 25"
