index,id_local,desc_barrio_local,clase_vial_edificio,desc_vial_edificio,num_edificio,rotulo,desc_epigrafe
46220,270177635,CANILLAS,CALLE,MOTA DEL CUERVO,25,FLORIDA,BAR ESPECIAL SIN ACTUACIONES
46230,270265640,RIOS ROSAS,CALLE,ALONSO CANO,51,BOQUERON & CANALLA,BAR SIN COCINA
46235,270265934,VALDEZARZA,CALLE,ARTAJONA,9,TUBARRO III,BAR SIN COCINA
46241,270178179,CANILLAS,CALLE,AGUSTIN CALVO,19,CENTRO RESIDENCIAL PARA MAYORES AÑOS DORADOS III,SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES
46250,270266278,UNIVERSIDAD,CALLE,SAN BERNARDO,13,LOS ENTENDIDOS,BAR RESTAURANTE
46260,270178720,PINAR DEL REY,CALLE,ROGELIO MUÑOZ,2,HOSTAL EL DESCANSO CAFETERÍA RESTAURANTE,BAR RESTAURANTE
46261,270266511,CUATRO CAMINOS,CALLE,ORENSE,18,MANA BAR,BAR CON COCINA
46265,270266631,GOYA,PLAZA,MANUEL BECERRA,3,MOVISTAR COMPLUTEL,BAR RESTAURANTE
46267,270574877,CASA DE CAMPO,PASEO,FLORIDA,2,MANOLO BAKES,CAFETERIA
46270,270202483,CASCO H.BARAJAS,CALLE,CAMARILLAS,2,BAR JULIAN,BAR RESTAURANTE
46271,270202483,CASCO H.BARAJAS,CALLE,CAMARILLAS,2,BAR JULIAN,BAR CON COCINA
46274,270202616,EMBAJADORES,CALLE,MIRA EL RIO BAJA,20,SHIBARI SUSHI AND GRILL,BAR CON COCINA
46276,270202860,UNIVERSIDAD,CALLE,CORREDERA BAJA DE SAN PABLO,4,MALPIKA,BAR RESTAURANTE
46277,270202867,UNIVERSIDAD,CALLE,DESENGAÑO,24,FEDECREZIA SL,BAR RESTAURANTE
46282,270574904,VALDEFUENTES,AVENIDA,JOSE ANTONIO CORRALES,9,CARPANES 55,CAFETERIA
46289,270203131,FUENTE DEL BERRO,CALLE,ALCALA,202,ALCALA 202,BAR ESPECIAL SIN ACTUACIONES
46292,270203169,LISTA,CALLE,CONDE DE PEÑALVER,51,PASTELERIA LISBOA,CAFETERIA
46295,270203217,PROSPERIDAD,CALLE,CLARA DEL REY,48,ESCUELA DE TAEKWONDO 1992,ACTIVIDADES DE LOS GIMNASIOS
46301,270574940,LA PAZ,PASEO,CASTELLANA,259,HEALTHY HUNTERS,BAR CON COCINA
46302,270574944,LA PAZ,PASEO,CASTELLANA,259,CAFÉ-BAR,CAFETERIA
46305,270574952,LA PAZ,PASEO,CASTELLANA,259,RESTAURANTE,RESTAURANTE
46306,270574960,LA PAZ,PASEO,CASTELLANA,259,SECRETS,RESTAURANTE
46313,270203579,GAZTAMBIDE,CALLE,ANDRES MELLADO,21,CLUB DEPORTIVO JOSE VALENCIANO,ACTIVIDADES DE CLUBES DEPORTIVOS Y OTRAS ACTIVIDADES DEPORTIVAS
46319,270575002,VALDEACEDERAS,CALLE,ARROYO,14,ROTULO NO INFORMADO,COLEGIOS MAYORES Y RESIDENCIAS DE ESTUDIANTES
46321,270575045,MIRASIERRA,CALLE,COSTA BRAVA,36,MUESTRA,BAR RESTAURANTE
46324,270575083,EMBAJADORES,PLAZA,GENERAL VARA DE REY,1,BANCO DE ALIMENTOS,"OTROS SERVICIOS DE COMIDAS EN INSTALACIONES DEPORTIVAS, OFICINAS, EMPRESAS O SIMILARES"
46328,270203767,EL PILAR,CALLE,PUERTO DE MASPALOMAS,6,BAR PAQUIRRI,BAR CON COCINA
46330,270203808,MIRASIERRA,CALLE,COSTA BRAVA,8,CLUB MIRASIERRA,ACTIVIDADES DE CLUBES DEPORTIVOS Y OTRAS ACTIVIDADES DEPORTIVAS
46332,270204012,SAN ISIDRO,CALLE,VIA CARPETANA,109,CAFETERIA JOLIN,BAR CON COCINA
46334,270575124,VALDEFUENTES,AVENIDA,JUAN ANTONIO SAMARANCH,76,ROTULO NO INFORMADO,RESTAURANTE
46349,270204536,CANILLAS,CALLE,AGUSTIN CALVO,10,CASA DE PACO,BAR CON COCINA
46357,270026061,CASCO H.BARAJAS,CALLE,ACUARIO,1,HOSTAL CAFETERIA RESTAURANTE EL PRINCIPE,BAR RESTAURANTE
46365,270205181,CANILLAS,CALLE,MOTA DEL CUERVO,17,JUEGOS Y APUESTAS DEL ESTADO,JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)
46367,270205326,CORTES,PLAZA,SANTA ANA,15,RESTAURANTE TABLAO VILLAROSA,SALAS DE FIESTA CON RESTAURACION
46384,270575289,UNIVERSIDAD,PLAZA,MOSTENSES,1,RESTAURANTE,RESTAURANTE
46390,270026789,PUERTA DEL ANGEL,CALLE,JAIME VERA,12,BAR AVILA,BAR RESTAURANTE
46393,270206104,EL SALVADOR,CALLE,ALCALA,459,LOTERIA N 408,JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)
46395,270206136,CANILLEJAS,CALLE,ALCALA,592,CERVECERIA ECU CAFETERIA,BAR CON COCINA
46400,270206463,CANILLEJAS,PLAZA,EURIPIDES,2,BAR DE COPAS AVEC MOI,BAR ESPECIAL SIN ACTUACIONES
46401,270206525,ARAPILES,CALLE,GALILEO,36,TABERNA GARNICA,BAR CON COCINA
46410,270206526,LOS CARMENES,CALLE,GALLUR,175,BAR ROCATA,BAR CON COCINA
46411,270206551,EL PARDO,PLAZA,EL PARDO,3,LA MARQUESITA,CAFETERIA
46412,270206606,VALDEZARZA,CALLE,ISLA DE NELSON,1,ESCUELA INFANTIL SAN GABRIEL,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46423,270208537,CANILLEJAS,CALLE,ALCALA,638,QUALLAR,BAR RESTAURANTE
46431,270027126,VENTAS,CALLE,SERVANDO BATANERO,35,FORMULA 3 CAFETERIA,CAFETERIA
46434,270027233,LISTA,CALLE,JUAN BRAVO,35,ALMONTE,DISCOTECAS Y SALAS DE BAILE
46436,270208828,BELLAS VISTAS,AVENIDA,DOCTOR FEDERICO RUBIO Y GALI,40,EL RINCON DEL VENEZOLANO,RESTAURANTE
46441,270209083,GOYA,CALLE,ALCANTARA,7,ALCANTARA 7,BAR CON COCINA
46443,270209267,PUERTA DEL ANGEL,PASEO,OLIVOS,7,BAR YSAMAR,BAR CON COCINA
46444,270209319,EMBAJADORES,PLAZA,EMPERADOR CARLOS V,9,RODILLA,RESTAURANTES DE COMIDA RAPIDA
46445,270209632,JUSTICIA,CALLE,SAGASTA,24,OCAFÚ,BAR RESTAURANTE
46448,270209796,PEÑA GRANDE,CALLE,LA BAÑEZA,43,ESCUELA INFANTIL - NANOS,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46453,270210018,ALMENARA,CALLE,CONDE DE SERRALLO,1,ASADOR EL MOLINO,RESTAURANTE
46455,270210152,VALDEZARZA,CALLE,FEDERICO CARLOS SAINZ DE ROBLES,11,BAR MARPIL CERVECERÍA,BAR CON COCINA
46456,270210256,CUATRO CAMINOS,CALLE,EDGAR NEVILLE,24,RESIDENCIA NAZARET,COLEGIOS MAYORES Y RESIDENCIAS DE ESTUDIANTES
46458,270210386,FONTARRON,CALLE,CORREGIDOR ALONSO DE TOBAR,18,CAFE BAR VILLENA,BAR SIN COCINA
46468,270211185,SAN ANDRES,CALLE,SAN CESAREO,12,ARTURO`S,BAR RESTAURANTE
46469,270211209,VALDEZARZA,CALLE,SAN GERARDO,11,BAR MARTINS,BAR SIN COCINA
46475,270211332,EL PILAR,AVENIDA,MONFORTE DE LEMOS,30,ROTULO NO INFORMADO,RESTAURANTE
46478,270211974,PACIFICO,CALLE,GRANADA,41,JUEGOS LUCKY PLAY,BAR SIN COCINA
46481,270212189,UNIVERSIDAD,CALLE,CORREDERA BAJA DE SAN PABLO,49,FARMACIA DE GUARDIA BAR,BAR CON COCINA
46518,270028652,EL VISO,CALLE,MARIA DE MOLINA,33,CR7 CRUNCH FITNESS,ACTIVIDADES DE LOS GIMNASIOS
46520,270028795,ARGUELLES,CALLE,TUTOR,45,ROYAL CROWN-SALÓN DE JUEGOS,CAFETERIA
46525,270029038,MIRASIERRA,CALLE,LA MASO,38,RUBER,SERVICIOS DE PREPARACIÓN DE COMIDAS EN HOSPITALES
46526,270029076,VALVERDE,CALLE,MATARO,25,CARPINTERIA METALICA,VIVIENDAS TURÍSTICAS
46541,270216191,TRAFALGAR,CALLE,CASTILLO,19,CASA MEÑO RESTAURANTE,BAR RESTAURANTE
46551,270030052,ORCASUR,CALLE,MOREJA,1,ESCUELA INFANTIL CARRICOCHE Y COMEDOR,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46553,270216453,CANILLEJAS,CALLE,GUTIERREZ CANALES,1,LA ESQUINA,BAR CON COCINA
46557,270216620,SAN FERMIN,CALLE,CARABELOS,20,BAR MIGUEL,BAR CON COCINA
46558,270216627,ALUCHE,CALLE,CARLOS DOMINGO,19,CENTRO DE DIA,SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES
46560,270216688,JUSTICIA,CALLE,CHURRUCA,21,LA CERVECERIA DE CHURRUCA,BAR CON COCINA
46565,270030531,ALUCHE,CALLE,OCAÑA,1,SALON DE JUEGOS,"JUEGOS DE AZAR Y APUESTAS DE GESTION PRIVADA (BINGOS, CASINOS, MAQUINAS TRAGAPERRAS)"
46569,270030940,PORTAZGO,AVENIDA,PABLO NERUDA,98,CAFE ISABEL BAR,BAR CON COCINA
46571,270216911,PROSPERIDAD,CALLE,FRANCISCO SILVELA,96,ARANZAZU BOCADITOS,TABERNA
46576,270217155,PINAR DEL REY,CALLE,LOPEZ DE HOYOS,409,BAR ARROYO CERVECERIA,BAR CON COCINA
46583,270031483,JUSTICIA,CALLE,PELAYO,25,TRINITY TAVERN,BAR ESPECIAL SIN ACTUACIONES
46584,270031484,JUSTICIA,CALLE,PELAYO,25,SHOWER & BAR,BAR ESPECIAL SIN ACTUACIONES
46589,270217367,CIUDAD JARDIN,CALLE,PANTOJA,8,SR,BAR RESTAURANTE
46591,270217503,CANILLAS,CALLE,RICARDO SAN JUAN,20,MARISQUERIA HERMANOS ALVAREZ,CAFETERIA
46595,270217841,PINAR DEL REY,AVENIDA,VIRGEN DEL CARMEN,7,BAR BLANCO,BAR CON COCINA
