INDEX,ID-EVENTO,TITULO,PRECIO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,BARRIO-INSTALACION,LATITUD,LONGITUD,TIPO
394,11768268,En busca del aburrimiento perdido,Gratuito con previa descarga de invitación una semana antes de la actividad,0,-,2023-03-22 00:00:00.0,2023-03-22 23:59:00.0,19:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ConferenciasColoquios
395,11768223,En compañía de la soledad,Gratuito con previa descarga de invitación una semana antes de la actividad,0,-,2023-01-31 00:00:00.0,2023-01-31 23:59:00.0,19:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,RecitalesPresentacionesActosLiterarios
398,11765043,Encuentros con el público 2022/23,Entrada libre hasta completar aforo ,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-09-13 00:00:00.0,2023-06-20 23:59:00.0,-,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,ProgramacionDestacadaAgendaCultura
406,11839912,Escribamos un cuento en familia,5 euros por persona (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad,0,['D'],2022-11-20 00:00:00.0,2022-12-18 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,CursosTalleres
417,11735841,Espaldas de plata,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-11-10 00:00:00.0,2022-11-27 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
420,11693844,Espectros,18 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-01-26 00:00:00.0,2023-03-05 23:59:00.0,-,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
424,11768358,Eurípides Laskaridis «Relic»,18 euros,0,"['X', 'J']",2023-02-01 00:00:00.0,2023-02-02 23:59:00.0,20:00,A las 20 horas,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
425,11768235,Eva Illouz y el fín del amor,Gratuito con previa descarga de invitación una semana antes de la actividad,0,-,2023-02-14 00:00:00.0,2023-02-14 23:59:00.0,19:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ConferenciasColoquios
458,11850349,Fito &amp; Los Fitipaldis,Platea: 80 euros Preferente frontal A/B filas 1-4: 80 euros Preferente frontal A/B filas 5-11: 68 euros Preferente frontal C/D filas 1-11: 68 euros Preferente escenario: 80 euros Grada: 40 euros Silla de ruedas: 40 euros,0,"['X', 'J', 'S', 'D']",2023-03-15 00:00:00.0,2023-03-19 23:59:00.0,-,-,Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
463,11768187,Frank Ripploh «Taxi Zum Klo»,"3,50 euros",0,-,2022-11-30 00:00:00.0,2022-11-30 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
