index,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1012,189,CHAMARTIN,Calle de Agustín de Foxá 40,40.4721,-3.68259
1013,190,PLAZA DE CASTILLA,Paseo de la Castellana 216,40.4669,-3.68909
1014,191,CUZCO,Paseo de la Castellana 162,40.45842,-3.68985
1017,192,SANTIAGO BERNABEU,Paseo de la Castellana 97,40.45159,-3.69038
1022,193,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44659,-3.69241
1023,194,GREGORIO MARAÑON,Calle de Miguel Ángel 29,40.43753,-3.69127
1024,195,ALONSO MARTINEZ,Calle de Manuel González Longoria 14,40.42853,-3.69643
1025,196,TRIBUNAL,Calle de la Palma 5,40.426,-3.70208
1026,197,PLAZA DE ESPAÑA,Calle de los Reyes 10,40.42409,-3.7097
1027,198,PRINCIPE PIO,Paseo de la Florida 2,40.42103,-3.72033
1028,199,LAGO,Ronda del Lago 3,40.41641,-3.73563
1030,200,BATAN,Paseo de la Venta 1,40.40786,-3.75311
1033,201,CASA DE CAMPO,Paseo de la Venta SN,40.40321,-3.76101
1034,202,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.39698,-3.77462
1038,203,CUATRO VIENTOS,Col   Militar de Cuatro Vientos 6 B,40.37771,-3.79152
1043,204,JOAQUIN VILUMBRALES,Avda de la Libertad 13,40.34985,-3.8072
1047,205,PUERTA DEL SUR,Avda de la Libertad 2,40.34524,-3.81211
1052,257,AVIACION ESPAÑOLA,Paseo de Extremadura 463,40.38364,-3.78392
1055,274,TRES OLIVOS,Acces   M-607 SN,40.5012,-3.6952
1057,275,MONTECARMELO,Avda de Monasterio de Silos 63 A,40.50525,-3.69575
1060,276,LAS TABLAS,Calle de Palas de Rey 30,40.50833,-3.66944
1063,277,RONDA DE LA COMUNICACION,Ronda de la Comunicación 22,40.51553,-3.66277
1066,278,LA GRANJA,Calle de Sepúlveda 1,40.5276,-3.65859
1069,279,LA MORALEJA,Avda de la Ermita 5,40.53196,-3.63556
1072,280,MARQUES DE LA VALDAVIA,Calle del Marqués de la Valdavia 21,40.54102,-3.63738
1075,281,MANUEL DE FALLA,Calle   Manuel de Falla 59,40.55048,-3.64688
1078,282,BAUNATAL,Avda de las Lomas del Rey 2,40.55442,-3.63513
1081,283,REYES CATOLICOS,Avda de la Plaza de Toros 7,40.55037,-3.6234
1084,284,HOSPITAL INFANTA SOFIA,Paseo   Europa 11,40.55977,-3.61145
1110,206,PLAZA ELIPTICA,Plaza de Fernández Ladreda 2,40.3846,-3.71825
1111,207,ABRANTES,Avda de Abrantes 77,40.38083,-3.7279
1115,208,PAN BENDITO,Avda de Abrantes 289,40.37587,-3.73417
1119,254,SAN FRANCISCO,Avda de los Poblados 102,40.3736,-3.7391
1123,255,CARABANCHEL ALTO,Avda de Carabanchel Alto 40,40.372,-3.75191
1126,256,LA PESETA,Calle de Salvador Allende 3,40.36422,-3.7569
1129,305,LA FORTUNA,Calle   San José 40,40.35795,-3.77783
1138,209,PUERTA DEL SUR,Avda de Leganés 52,40.34543,-3.81249
1139,210,PARQUE LISBOA,Calle de Porto Lagos 7,40.34969,-3.8212
1142,211,ALCORCON CENTRAL,Avda de Móstoles 12,40.35008,-3.83178
1150,212,PARQUE OESTE,Calle de Estambul 5,40.34589,-3.84934
